Week End Date,seqAlpha,seqOthers,seqDelta,seqB.1.1.529,seqBA.1.1,seqBA.2,seqBA.2.12.1,seqTotal,percAlpha,percOthers,percDelta,percB.1.1.529,percBA.1.1,percBA.2,percBA.2.12.1
07/03/21,68,61,226,0,0,0,0,355,0.1915492958,0.1718309859,0.6366197183,0,0,0,0
07/10/21,67,47,366,0,0,0,0,480,0.1395833333,0.09791666667,0.7625,0,0,0,0
07/17/21,36,38,485,0,0,0,0,559,0.06440071556,0.06797853309,0.8676207513,0,0,0,0
07/24/21,15,27,1015,0,0,0,0,1057,0.01419110691,0.02554399243,0.9602649007,0,0,0,0
07/31/21,32,43,2426,0,0,0,0,2501,0.01279488205,0.01719312275,0.9700119952,0,0,0,0
08/07/21,13,38,3002,0,0,0,0,3053,0.00425810678,0.01244677367,0.9832951196,0,0,0,0
08/14/21,6,14,1832,0,0,0,0,1852,0.003239740821,0.007559395248,0.9892008639,0,0,0,0
08/21/21,0,9,457,0,0,0,0,466,0,0.01931330472,0.9806866953,0,0,0,0
08/28/21,0,33,816,0,0,0,0,849,0,0.03886925795,0.961130742,0,0,0,0
09/04/21,3,13,1972,0,0,0,0,1988,0.001509054326,0.006539235412,0.9919517103,0,0,0,0
09/11/21,1,15,2129,0,0,0,0,2145,0.0004662004662,0.006993006993,0.9925407925,0,0,0,0
09/18/21,1,16,1914,0,0,0,0,1931,0.0005178663905,0.008285862248,0.9911962714,0,0,0,0
09/25/21,2,19,1410,0,0,0,0,1431,0.001397624039,0.01327742837,0.9853249476,0,0,0,0
10/02/21,0,11,1266,0,0,0,0,1277,0,0.008613938919,0.9913860611,0,0,0,0
10/09/21,0,16,1410,0,0,0,0,1426,0,0.01122019635,0.9887798036,0,0,0,0
10/16/21,0,10,1235,0,0,0,0,1245,0,0.008032128514,0.9919678715,0,0,0,0
10/23/21,0,9,976,0,0,0,0,985,0,0.009137055838,0.9908629442,0,0,0,0
10/30/21,0,9,942,0,0,0,0,951,0,0.009463722397,0.9905362776,0,0,0,0
11/06/21,0,17,774,0,0,0,0,791,0,0.02149178255,0.9785082174,0,0,0,0
11/13/21,0,4,892,0,0,0,0,896,0,0.004464285714,0.9955357143,0,0,0,0
11/20/21,0,17,842,0,0,0,0,859,0,0.01979045402,0.980209546,0,0,0,0
11/27/21,0,5,739,0,0,0,0,744,0,0.006720430108,0.9932795699,0,0,0,0
12/04/21,0,4,979,0,0,0,0,983,0,0.004069175992,0.995930824,0,0,0,0
12/11/21,0,1,1027,14,0,0,0,1042,0,0.0009596928983,0.9856046065,0.01343570058,0,0,0
12/18/21,0,7,936,134,0,0,0,1077,0,0.006499535747,0.8690807799,0.1244196843,0,0,0
12/25/21,0,2,476,480,3,0,0,961,0,0.002081165453,0.4953173777,0.4994797086,0.003121748179,0,0
01/01/22,0,14,314,1430,18,0,0,1776,0,0.007882882883,0.1768018018,0.8051801802,0.01013513514,0,0
01/08/22,0,0,139,1316,57,0,0,1512,0,0,0.09193121693,0.8703703704,0.0376984127,0,0
01/15/22,0,3,39,976,256,0,0,1274,0,0.002354788069,0.0306122449,0.7660910518,0.2009419152,0,0
01/22/22,0,5,7,372,610,1,0,995,0,0.005025125628,0.007035175879,0.3738693467,0.6130653266,0.001005025126,0
01/29/22,0,3,12,681,1013,6,0,1715,0,0.001749271137,0.006997084548,0.3970845481,0.5906705539,0.003498542274,0
02/05/22,0,1,0,553,1214,13,0,1781,0,0.0005614823133,0,0.3104997193,0.6816395284,0.007299270073,0
02/12/22,0,2,0,464,1401,13,0,1880,0,0.001063829787,0,0.2468085106,0.745212766,0.006914893617,0
02/19/22,0,1,0,328,1021,8,0,1358,0,0.000736377025,0,0.2415316642,0.7518409426,0.0058910162,0
02/26/22,0,2,0,152,551,16,0,721,0,0.002773925104,0,0.2108183079,0.7642163662,0.02219140083,0
03/05/22,0,0,0,70,410,16,0,496,0,0,0,0.1411290323,0.8266129032,0.03225806452,0
03/12/22,0,1,0,43,220,48,0,312,0,0.003205128205,0,0.1378205128,0.7051282051,0.1538461538,0
03/19/22,0,2,0,29,124,57,0,212,0,0.009433962264,0,0.1367924528,0.5849056604,0.2688679245,0
03/26/22,0,0,0,11,74,117,3,205,0,0,0,0.05365853659,0.3609756098,0.5707317073,0.01463414634
04/02/22,0,1,0,9,66,183,14,273,0,0.003663003663,0,0.03296703297,0.2417582418,0.6703296703,0.05128205128
04/09/22,0,0,1,9,62,333,61,466,0,0,0.002145922747,0.01931330472,0.1330472103,0.7145922747,0.1309012876
04/16/22,0,0,0,6,27,490,72,595,0,0,0,0.01008403361,0.04537815126,0.8235294118,0.1210084034
04/23/22,0,0,0,0,8,547,63,618,0,0,0,0,0.01294498382,0.8851132686,0.1019417476
04/30/22,0,1,0,0,1,774,152,928,0,0.001077586207,0,0,0.001077586207,0.8340517241,0.1637931034